title,person,credit_position,rating,year,ow_usa,ow_usa_screens,ow_position_recode
Star Wars: The Clone Wars,Matt Lanter,1,5.6,2008,14611273,3452,14611273
Bobby Jones: Stroke of Genius,Matt Lanter,67,6.4,2004,1233297,1332,18407.41791
4: Rise of the Silver Surfer,Vanessa Lachey,23,5.6,2007,58051684,3959,2523986.261
Meet the Spartans,Nicole Parker,11,2.6,2008,18505530,2605,1682320.909
Meet the Spartans,Crista Flanagan,13,2.6,2008,18505530,2605,1423502.308
Epic Movie,Crista Flanagan,15,2.3,2007,18612544,2801,1240836.267
Meet the Spartans,Ike Barinholtz,12,2.6,2008,18505530,2605,1542127.5
Bedtime Stories,Carmen Electra,15,6,2008,27450296,3681,1830019.733
Meet the Spartans,Carmen Electra,2,2.6,2008,18505530,2605,9252765
Epic Movie,Carmen Electra,10,2.3,2007,18612544,2801,1861254.4
American Dreamz,Carmen Electra,48,5.5,2006,3667420,1500,76404.58333
Date Movie,Carmen Electra,10,2.7,2006,21812384,2896,2181238.4
Scary Movie 4,Carmen Electra,10,5,2006,40222875,3602,4022287.5
Cheaper by the Dozen 2,Carmen Electra,6,5.2,2005,15340679,3175,2556779.833
Dirty Love,Carmen Electra,3,3.1,2005,23281,44,7760.333333
Starsky & Hutch,Carmen Electra,9,6,2004,28103367,3185,3122596.333
My Boss's Daughter,Carmen Electra,14,4.5,2003,4855798,2201,346842.7143
Uptown Girls,Carmen Electra,43,5.8,2003,11277367,2495,262264.3488
Get Over It,Carmen Electra,12,5.5,2001,4134977,1742,344581.4167
Scary Movie,Carmen Electra,1,6.1,2000,42346669,2912,42346669
Good Burger,Carmen Electra,48,5.2,1997,7058333,1887,147048.6042
Epic Movie,Tony Cox,7,2.3,2007,18612544,2801,2658934.857
Who's Your Caddy?,Tony Cox,26,1.9,2007,2756661,1019,106025.4231
Date Movie,Tony Cox,11,2.7,2006,21812384,2896,1982944
Bad Santa,Tony Cox,2,7.1,2003,12292952,2005,6146476
The Hebrew Hammer,Tony Cox,8,6,2003,19539,8,2442.375
"Me, Myself & Irene",Tony Cox,13,6.4,2000,24209385,3019,1862260.385
The Fantasticks,Tony Cox,9,5.7,1995,24176,6,2686.222222
Leprechaun 2,Tony Cox,18,3.8,1994,672775,252,37376.38889
Mom and Dad Save the World,Tony Cox,27,4.8,1992,984627,904,36467.66667
I'm Gonna Git You Sucka,Tony Cox,53,6.2,1988,543588,135,10256.37736
Willow,Tony Cox,11,7.1,1988,8300169,1024,754560.8182
Star Wars: Episode VI - Return of the Jedi,Tony Cox,52,8.4,1983,16293531,2111,313337.1346
Penitentiary II,Tony Cox,18,2.7,1982,662896,198,36827.55556
Under the Rainbow,Tony Cox,48,5,1981,2297493,488,47864.4375
Sherman's Way,Tad Hilgenbrink,9,5.1,2008,2789,1,309.8888889
Epic Movie,Tad Hilgenbrink,18,2.3,2007,18612544,2801,1034030.222
Meet the Spartans,Nick Steele,28,2.6,2008,18505530,2605,660911.7857
Epic Movie,Nick Steele,36,2.3,2007,18612544,2801,517015.1111
Date Movie,Nick Steele,23,2.7,2006,21812384,2896,948364.5217
Meet the Spartans,John Di Domenico,20,2.6,2008,18505530,2605,925276.5
The Last Sin Eater,Valerie Wildman,12,5.7,2007,246483,429,20540.25
Cast Away,Valerie Wildman,22,7.6,2000,39852075,2774,1811457.955
Crime + Punishment in Suburbia,Valerie Wildman,24,5.5,2000,9893,5,412.2083333
Dear God,Valerie Wildman,26,4.9,1996,3213045,1754,123578.6538
Mars Attacks!,Valerie Wildman,41,6.3,1996,9384272,1955,228884.6829
Rumpelstiltskin,Valerie Wildman,8,4.1,1995,294991,19,36873.875
Josh and S.A.M.,Valerie Wildman,31,5.3,1993,800469,774,25821.58065
Splash,Valerie Wildman,34,6.2,1984,6174059,829,181589.9706
Epic Movie,Abe Spigner,32,2.3,2007,18612544,2801,581642
Beyond Honor,Abe Spigner,21,3.8,2004,1114,2,53.04761905
Dirty Love,Noah Harpster,9,3.1,2005,23281,44,2586.777778
Little Black Book,Noah Harpster,47,5.2,2004,7075217,2445,150536.5319
Paparazzi,Noah Harpster,26,5.7,2004,7855111,2115,302119.6538
Epic Movie,Dana Seltzer,16,2.3,2007,18612544,2801,1163284
Date Movie,Dana Seltzer,16,2.7,2006,21812384,2896,1363274
Kiss the Girls,Dana Seltzer,40,6.4,1997,13215167,2271,330379.175
The Neon Bible,Dana Seltzer,18,6,1995,5045,1,280.2777778
Epic Movie,Michelle Lang,61,2.3,2007,18612544,2801,305123.6721
Date Movie,Michelle Lang,38,2.7,2006,21812384,2896,574010.1053
The Heartbreak Kid,Gerard Facchini,65,5.8,2007,14022105,3229,215724.6923
The Curious Case of Benjamin Button,Jacob Tolano,6,7.8,2008,26853816,2988,4475636
The Last Lullaby,Jacob Tolano,13,6,2008,16641,1,1280.076923
Lethal Weapon 4,Roland Kickinger,40,6.5,1998,34048124,3117,851203.1
W.,David Born,34,6.4,2008,10505668,2,308990.2353
Glory Road,David Born,53,7,2006,16927589,2222,319388.4717
Letters from Iwo Jima,Yoshio Iizuka,26,7.9,2006,122548,5,4713.384615
The Guardian,Yoshio Iizuka,79,6.7,2006,18006064,3241,227924.8608
The Master of Disguise,Yoshio Iizuka,68,3.1,2002,12554650,2565,184627.2059
The Time Machine,Yoshio Iizuka,41,5.8,2002,22610437,2944,551474.0732
The Comebacks,Monica Soto,75,3.9,2007,5554594,2812,74061.25333
The Hot Chick,Monica Soto,84,5.3,2002,7401146,2217,88108.88095
High School Musical 3: Senior Year,Audra Griffis,48,4,2008,42030184,3623,875628.8333
Harold & Kumar Escape from Guantanamo Bay,Courtney Shay Young,18,6.6,2008,14908404,2510,828244.6667
Meet the Spartans,Courtney Shay Young,62,2.6,2008,18505530,2605,298476.2903
The Comebacks,Clinton Huff,81,3.9,2007,5554594,2812,68575.23457
Across the Universe,Dominique Kelley,145,7.4,2007,3824988,954,26379.22759
The Producers,Dominique Kelley,261,6.3,2005,154590,6,592.2988506
Just My Luck,Luke Sexton,61,5.1,2006,5692285,2541,93316.14754
W.,Halley Rachal,46,6.4,2008,10505668,2,228384.087
Meet the Spartans,Kenny Yates,19,2.6,2008,18505530,2605,973975.2632
Epic Movie,Kenny Yates,42,2.3,2007,18612544,2801,443155.8095
