title,person,credit_position,rating,year,ow_usa,ow_usa_screens,ow_position_recode
Look Who's Talking Now,John Travolta,1,3.9,1993,4022570,1,4022570
Perfect,John Travolta,5,3.9,1985,4222810,1,844562
Grease,John Travolta,1,7.1,1978,60759,12,60759
Saturday Night Fever,John Travolta,1,6.7,1977,3878099,504,3878099
Jurassic Park,Samuel L. Jackson,10,8,1993,18620145,2771,1862014.5
Goodfellas,Samuel L. Jackson,51,8.8,1990,6368901,1070,124880.4118
School Daze,Samuel L. Jackson,58,5.4,1988,1802656,220,31080.27586
Ragtime,Samuel L. Jackson,26,7.2,1981,151351,5,5821.192308
Reservoir Dogs,Tim Roth,2,8.4,1992,147839,19,73919.5
The Hit,Tim Roth,18,7,1984,8211,1,456.1666667
Freejack,Amanda Plummer,7,5.1,1992,7814000,1551,1116285.714
The Fisher King,Amanda Plummer,25,7.5,1991,311662,10,12466.48
The Hotel New Hampshire,Amanda Plummer,41,5.8,1984,1075800,244,26239.02439
Daniel,Amanda Plummer,11,6.6,1983,27859,1,2532.636364
Cattle Annie and Little Britches,Amanda Plummer,4,6,1981,115679,215,28919.75
The Waterdance,Eric Stoltz,1,6.7,1992,138313,33,138313
The Fly II,Eric Stoltz,1,4.7,1989,6751371,1524,6751371
Some Kind of Wonderful,Eric Stoltz,1,6.8,1987,3486701,1082,3486701
Code Name: Emerald,Eric Stoltz,6,5.8,1985,241108,195,40184.66667
The New Kids,Eric Stoltz,10,5.6,1985,199108,102,19910.8
The Wild Life,Eric Stoltz,3,5.6,1984,4001000,1140,1333666.667
Fast Times at Ridgemont High,Eric Stoltz,16,7.2,1982,2545674,498,159104.625
The Player,Bruce Willis,95,7.7,1992,302216,23,3181.221053
Billy Bathgate,Bruce Willis,4,5.8,1991,4051590,912,1012897.5
Die Hard 2,Bruce Willis,1,7.1,1990,21744661,2,21744661
Die Hard,Bruce Willis,1,8.3,1988,601851,21,601851
Flight of the Intruder,Ving Rhames,10,5.3,1991,5725133,1489,572513.3
The People Under the Stairs,Ving Rhames,5,6.1,1991,5522250,1,1104450
Jacob's Ladder,Ving Rhames,9,7.5,1990,7500760,1052,833417.7778
Casualties of War,Ving Rhames,9,7,1989,5201261,1487,577917.8889
Native Son,Ving Rhames,13,6,1986,141863,20,10912.53846
It's Pat,Phil LaMarr,27,2.5,1994,31370,33,1161.851852
Meeting Venus,Maria de Medeiros,25,6.7,1991,65715,3,2628.6
Henry & June,Maria de Medeiros,3,6.2,1990,1032942,76,344314
Flight of the Intruder,Rosanna Arquette,4,5.3,1991,5725133,1489,1431283.25
Le grand bleu,Rosanna Arquette,1,7.4,1988,14234,5,14234
8 Million Ways to Die,Rosanna Arquette,2,5.4,1986,609955,215,304977.5
After Hours,Rosanna Arquette,2,7.6,1985,45435,1,22717.5
Desperately Seeking Susan,Rosanna Arquette,1,5.7,1985,1526098,268,1526098
Baby It's You,Rosanna Arquette,1,6.3,1983,12420,1,12420
Henry & June,Uma Thurman,2,6.2,1990,1032942,76,516471
Johnny Be Good,Uma Thurman,4,4.1,1988,5249388,1168,1312347
The Adventures of Baron Munchausen,Uma Thurman,12,7,1988,597400,46,49783.33333
Leatherface: Texas Chainsaw Massacre III,Duane Whitaker,16,4.8,1990,3296000,1107,206000
Bad Lieutenant,Paul Calderon,3,7,1992,47454,2,15818
Band of the Hand,Paul Calderon,9,5.6,1986,2235720,930,248413.3333
The Freshman,Frank Whaley,5,6.3,1990,205876,6,41175.2
Field of Dreams,Frank Whaley,8,7.5,1989,531346,22,66418.25
Ironweed,Frank Whaley,31,6.7,1987,36973,2,1192.677419
Reservoir Dogs,Burr Steers,23,8.4,1992,147839,19,6427.782609
The Hudsucker Proxy,Steve Buscemi,33,7.3,1994,104490,5,3166.363636
Ed and His Dead Mother,Steve Buscemi,2,5.8,1993,673,1,336.5
Reservoir Dogs,Steve Buscemi,5,8.4,1992,147839,19,29567.8
Barton Fink,Steve Buscemi,8,7.7,1991,268561,11,33570.125
Billy Bathgate,Steve Buscemi,6,5.8,1991,4051590,912,675265
Bloodhounds of Broadway,Steve Buscemi,40,5,1989,15872,5,396.8
Parting Glances,Steve Buscemi,3,7.4,1986,12232,1,4077.333333
Day of the Dead,Joseph Pilato,3,7,1985,1700000,168,566666.6667
Honeymoon in Vegas,Brad Blumenthal,34,5.7,1992,7318157,1,215239.9118
Hook,Brad Blumenthal,50,6.4,1991,13522535,2197,270450.7
In the Shadow of Kilimanjaro,Don Blakely,8,4.7,1986,181410,100,22676.25
Brubaker,Don Blakely,23,6.9,1980,2748079,594,119481.6957
Mistress,Christopher Walken,20,5.3,1992,34146,2,1707.3
McBain,Christopher Walken,6,4.5,1991,320000,166,53333.33333
At Close Range,Christopher Walken,2,6.9,1986,180286,39,90143
A View to a Kill,Christopher Walken,2,6.2,1985,13294435,1,6647217.5
Brainstorm,Christopher Walken,1,6.3,1983,1196965,169,1196965
Heaven's Gate,Christopher Walken,2,6.6,1980,12032,2,6016
It's Pat,Julia Sweeney,1,2.5,1994,31370,33,31370
Freaked,Michael Gilden,37,5.7,1993,6957,2,188.027027
Star Wars: Episode VI - Return of the Jedi,Michael Gilden,63,8.4,1983,16293531,2111,258627.4762
Under the Rainbow,Michael Gilden,92,5,1981,2297493,488,24972.75
Cannery Row,Brenda Hillhouse,16,6.3,1982,1500000,700,93750
Reservoir Dogs,Robert Ruth,17,8.4,1992,147839,19,8696.411765
Reservoir Dogs,Rich Turner,12,8.4,1992,147839,19,12319.91667
Last Exit to Brooklyn,Alexis Arquette,20,6.7,1989,186489,13,9324.45
Reservoir Dogs,Linda Kaye,19,8.4,1992,147839,19,7781
It's Pat,Kathy Griffin,4,2.5,1994,31370,33,7842.5
Shakes the Clown,Kathy Griffin,12,5,1991,35589,9,2965.75
The Unborn,Kathy Griffin,6,3.5,1991,179080,55,29846.66667
Reservoir Dogs,Quentin Tarantino,8,8.4,1992,147839,19,18479.875
Bad Lieutenant,Harvey Keitel,1,7,1992,47454,2,47454
Reservoir Dogs,Harvey Keitel,1,8.4,1992,147839,19,147839
Bugsy,Harvey Keitel,3,6.7,1991,140358,4,46786
Due occhi diabolici,Harvey Keitel,6,5.9,1990,260410,150,43401.66667
The Two Jakes,Harvey Keitel,2,6,1990,3729149,1206,1864574.5
The Last Temptation of Christ,Harvey Keitel,2,7.5,1988,401211,9,200605.5
The Men's Club,Harvey Keitel,3,4.3,1986,1146992,532,382330.6667
Wise Guys,Harvey Keitel,3,5.4,1986,1324456,338,441485.3333
Falling in Love,Harvey Keitel,3,6.2,1984,2293710,305,764570
Exposed,Harvey Keitel,3,4.8,1983,194685,18,64895
The Border,Harvey Keitel,2,6.3,1982,516064,84,258032
Mean Streets,Harvey Keitel,2,7.5,1973,32645,3,16322.5
Reservoir Dogs,Lawrence Bender,18,8.4,1992,147839,19,8213.277778
Crimewave,Emil Sitka,12,5.6,1985,3571,7,297.5833333
Unlawful Entry,Dick Miller,30,6,1992,10067609,1511,335586.9667
Far from Home,Dick Miller,7,5.4,1989,3763,4,537.5714286
Innerspace,Dick Miller,18,6.6,1987,4739000,1603,263277.7778
After Hours,Dick Miller,10,7.6,1985,45435,1,4543.5
Gremlins,Dick Miller,11,7.2,1984,12511000,1511,1137363.636
The Terminator,Dick Miller,9,8.1,1984,4020663,1005,446740.3333
All the Right Moves,Dick Miller,22,5.7,1983,1625486,442,73885.72727
Twilight Zone: The Movie,Dick Miller,46,6.4,1983,6614000,1275,143782.6087
Heartbeeps,Dick Miller,8,4.1,1981,407464,493,50933
1941,Dick Miller,65,5.7,1979,2701898,325,41567.66154
