title,person,credit_position,rating,year,ow_usa,ow_usa_screens,ow_position_recode
The Devil's Advocate,Keanu Reeves,1,7.4,1997,12170536,2161,12170536
The Last Time I Committed Suicide,Keanu Reeves,2,5.7,1997,12836,4,6418
Chain Reaction,Keanu Reeves,1,5.4,1996,7546000,2255,7546000
Feeling Minnesota,Keanu Reeves,1,5.3,1996,1598051,869,1598051
Little Buddha,Keanu Reeves,1,5.7,1993,873983,126,873983
Dracula,Keanu Reeves,4,7.4,1992,30521679,2491,7630419.75
My Own Private Idaho,Keanu Reeves,2,7,1991,68542,2,34271
Bill & Ted's Excellent Adventure,Keanu Reeves,1,6.8,1989,6167651,1196,6167651
Parenthood,Keanu Reeves,8,6.8,1989,10506450,1,1313306.25
Event Horizon,Laurence Fishburne,1,6.6,1997,9511915,2311,9511915
Hoodlum,Laurence Fishburne,1,5.9,1997,8162768,2020,8162768
Fled,Laurence Fishburne,1,5,1996,5405000,2104,5405000
Boyz n the Hood,Laurence Fishburne,17,7.7,1991,10023462,829,589615.4118
Cadence,Laurence Fishburne,15,6.3,1990,173601,31,11573.4
School Daze,Laurence Fishburne,1,5.4,1988,1802656,220,1802656
A Nightmare on Elm Street 3: Dream Warriors,Laurence Fishburne,10,6.3,1987,8880555,1343,888055.5
Band of the Hand,Laurence Fishburne,10,5.6,1986,2235720,930,223572
The Color Purple,Laurence Fishburne,18,7.6,1985,1710333,192,95018.5
The Cotton Club,Laurence Fishburne,15,6.4,1984,2903603,808,193573.5333
Rumble Fish,Laurence Fishburne,9,7.1,1983,18985,1,2109.444444
Death Wish II,Laurence Fishburne,16,5.7,1982,1871487,377,116967.9375
Apocalypse Now,Laurence Fishburne,7,8.6,1979,96992,2,13856
Babe: Pig in the City,Hugo Weaving,18,5.9,1998,6162640,2384,342368.8889
Bedrooms and Hallways,Hugo Weaving,10,6.2,1998,16459,1,1645.9
Babe,Hugo Weaving,4,6.9,1995,8742545,1591,2185636.25
Frauds,Hugo Weaving,2,5.8,1993,247,1,123.5
Black and White,Joe Pantoliano,9,5,1999,2212535,1284,245837.2222
U.S. Marshals,Joe Pantoliano,4,6.4,1998,16863988,2817,4215997
Tinseltown,Joe Pantoliano,2,4.5,1997,517,1,258.5
Bound,Joe Pantoliano,3,7.4,1996,900902,261,300300.6667
Calendar Girl,Joe Pantoliano,4,4.8,1993,1802688,1082,450672
Me and the Kid,Joe Pantoliano,3,5,1993,45715,90,15238.33333
The Fugitive,Joe Pantoliano,5,7.8,1993,23758855,2340,4751771
Midnight Run,Joe Pantoliano,6,7.5,1988,5506290,1,917715
Empire of the Sun,Joe Pantoliano,5,7.7,1987,1314509,225,262901.8
The Mean Season,Joe Pantoliano,6,6,1985,1560591,877,260098.5
Eddie and the Cruisers,Joe Pantoliano,3,6.5,1983,1444886,475,481628.6667
Risky Business,Joe Pantoliano,3,6.7,1983,4275327,670,1425109
Monsignor,Joe Pantoliano,10,4.8,1982,3631834,857,363183.4
American Heart,Marcus Chong,23,6.6,1992,5549,1,241.2608696
Broken English,Julian Arahanga,3,6.4,1996,34029,10,11343
The Thin Red Line,Matt Doran,26,7.6,1998,11362226,1528,437008.6923
Lilian's Story,Matt Doran,21,7,1996,1220,2,58.0952381
Hotel de Love,Belinda McClory,8,6,1996,50947,18,6368.375
The Frighteners,Anthony Ray Parker,21,7.1,1996,5565000,1669,265000
Holy Smoke,Paul Goddard,6,5.8,1999,41051,2,6841.833333
Babe,Paul Goddard,15,6.9,1995,8742545,1591,582836.3333
Race the Sun,Marc Aden Gray,24,5,1996,1116504,1218,46521
Welcome to Woop Woop,Adryn White,20,5.3,1997,19812,5,990.6
Wake in Fright,Harry Lawrence,21,7.6,1971,6761,1,321.952381
Quigley Down Under,Steve Dodd,11,6.6,1990,3853149,996,350286.2727
Gallipoli,Steve Dodd,18,7.5,1981,59757,2,3319.833333
The Pirate Movie,Bernard Ledger,15,4.1,1982,2528133,757,168542.2
Mad Max Beyond Thunderdome,Robert Simper,18,6.1,1985,7283714,1474,404650.7778
